Vendor ID,Vendor Name,Item type,Item ID,Item name,Barcode,SKU,Stock Unit,Vendor item ID,Default quantity,Default price,Primary vendor,Active
13,House of Spices,product,3450,Laxmi Narayan Chiwda 400Gm Corn,8902050002060,8902050002060,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3451,Laxmi Narayan Chiwda 400Gm Plain,8902050001063,8902050001063,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3452,Laxmi Narayan Chiwda 400Gm Potato,8902050003067,8902050003067,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3301,Laxmi NutKhut Peanuts 400Gm,7232461703746,7232461703746,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3302,Laxmi NUTKHUT PEANUTS 800g,7232461703814,7232461703814,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3303,Laxmi NutKhut Raisin 200gm,7232461723096,7232461723096,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3304,Laxmi OkraCut 300Gm,723246165219,723246165219,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3305,Laxmi Ondhwa Flr 2LB,723246121734,723246121734,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3096,Laxmi Paan Chutney  50Gm,7232462661076,7232462661076,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3306,Laxmi PANIPURI 7OZ,723246290201,723246290201,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3307,Laxmi PaniPuri Paste 9oz,723246000008,723246000008,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3308,Laxmi Parval 300Gm,723246165240,723246165240,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3309,Laxmi PeanutBlnch 4LB,723246170428,723246170428,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3310,Laxmi Peanuts 4LB,723246170398,723246170398,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3311,Laxmi Peanuts Blnch 2LB,723246170411,723246170411,Unit,,1.0000,0.0000,Yes,Yes
13,House of Spices,product,3312,Laxmi Pista 400Gm,723246170558,723246170558,Unit,,1.0000,0.0000,Yes,Yes
